919;2209;151
919;28309;2
919;1611;21
919;790071;5
919;42567;3
919;9482;7
919;21775;7
919;76362;2
919;51711;1
919;10927;1
919;28309;1
1440;2209;1
1611;919;210
1611;44417;1
1611;42567;13
1611;27399;2
1611;790071;15
1611;2209;3
1611;13850;6
1611;51711;2
1611;918121;5
1611;1440;1
1611;76362;8
1611;21775;3
1611;9482;1
1611;14742;1
2209;919;43
2209;28309;21
2209;21775;2
2209;10586;1
2209;3723;1
2209;1611;1
2209;28309;2
3603;65065;1
3723;45979;1
5257;20030;2
5556;14998;1
6509;114910;2
6509;114912;1
8217;44415;1
8217;67472;1
8217;41556;1
8890;43499;1
9482;21775;23
9482;918121;4
9482;27399;2
9482;523844;1
9482;37970;1
9482;51711;1
9482;919;2
9482;42567;1
9485;919;18
9485;2209;3
9485;92026;5
9485;37483;2
9788;2209;1
9807;42111;11
10189;10917;2
10220;2209;1
10220;145489;1
10586;919;2
10701;919;1
10701;2209;1
10761;16598;6
10761;12639;3
10761;919;22
10761;1113;2
10761;3723;2
10761;37033;1
10761;21775;1
10761;8920;40
10761;38173;1
10761;60420;1
10761;841087;1
10761;21094;9
10761;10376;1
10761;2209;2
10761;51439;1
10761;13850;1
10761;18033;1
10761;73115;1
10916;8217;1
10916;37033;1
10916;10927;6
10916;41557;1
10916;838641;2
10916;801187;1
10917;72972;33
10917;3723;1
10917;18450;21
10917;31686;20
10917;919;2
10917;18561;1
10917;76362;5
10917;90099;1
10917;152389;1
10927;10916;1
10927;41556;1
10927;44417;1
10927;37033;1
10986;9482;1
11280;7110;1
11724;34032;5
12016;919;2
13261;14742;3
13397;22898;1
13445;2209;1
13550;2209;1
13714;17369;2
13714;18450;3
13850;1440;1
13850;9482;1
14754;85479;1
14998;919;1
14998;11291;1
15401;919;2
15859;21759;7
16556;919821;3
16598;37033;7
16598;83989;1
16598;1114425;1
16598;96172;3
16598;919;1
16598;51711;1
16598;67472;1
16962;272343;1
17369;10586;1
17369;919;1
17369;1525114;1
17783;21094;1
18024;14754;2
18024;85479;1
18450;90115;9
18450;10917;40
18450;90099;7
18450;31686;23
18450;919;3
18450;18561;14
18450;751503;2
18450;270809;5
18450;10586;5
18546;126080;1
18561;18450;16
19917;807;1
19917;15859;1
20007;10586;1
20036;122736;1
20036;10586;1
20125;481711;1
21094;24305;37
21094;2209;3
21094;17783;3
21094;529;1
21759;15859;4
21759;147553;4
21775;9482;22
21775;1611;2
21775;919;2
21775;51711;1
21801;2209;1
22898;22912;2
22898;22906;11
22906;22898;18
22906;22912;34
22906;13397;1
22906;623869;1
22912;22906;7
23609;116248;1
23609;17783;1
23609;21094;1
23987;37033;17
23987;16598;1
23987;67472;1
23987;65760;1
24305;21094;47
24583;919;1
24824;39070;1
25287;2209;1
25731;919;1
25731;14742;1
25772;7110;1
25835;529;1
25835;44776;1
25887;2209;1
25954;174659;2
26097;16286;1
26392;63161;1
26392;14742;1
27399;919;1
27399;21775;1
27399;9482;2
27399;42567;1
27399;34641;1
28309;919;3
28309;2209;2
28309;919;3
28309;2209;1
28352;919;1
30340;228248;4
30340;97788;1
30529;15859;1
30680;236252;5
30680;167332;27
30680;197693;33
30680;9485;2
30680;197691;2
30680;236924;1
30680;9482;1
30835;919;1
30835;32266;1
30857;55068;16
31468;919;1
31686;18450;16
31686;10917;35
31686;919;1
31686;30680;1
31686;18561;1
32266;41556;1
32266;54113;1
32266;6509;1
32266;124736;1
32266;76368;2
32266;2209;2
32823;54704;1
32872;10586;1
33167;529;3
33939;10586;1
34032;6509;1
34641;9482;1
35038;9482;1
36502;8890;1
36855;70787;3
37033;67472;4
37033;96172;1
37033;1532015;1
37388;39070;5
37483;9485;126
37483;92026;1
37865;37872;1
37919;38511;1
37936;3723;1
37936;14742;1
37936;168332;1
37936;10586;1
37936;161751;1
37936;31686;1
37970;9482;1
38173;44790;9
38173;2209;4
38173;71472;5
38173;42111;8
38173;54112;49
38173;32266;6
38173;1440;5
38173;919;12
