node_id,categoría
616,cristina
617,cristina
618,cristina
619,cristina
620,cristina
621,cristina
622,cristina
623,cristina
624,cristina
625,cristina
626,cristina
627,cristina
628,cristina
629,cristina
630,cristina
631,cristina
632,cristina
633,cristina
634,cristina
635,cristina
636,cristina
637,cristina
638,cristina
639,cristina
640,cristina
641,cristina
642,cristina
643,cristina
644,cristina
645,cristina
646,cristina
647,cristina
648,cristina
649,cristina
650,cristina
651,cristina
652,cristina
653,cristina
654,cristina
655,cristina
656,cristina
657,cristina
658,cristina
659,cristina
660,cristina
661,cristina
662,cristina
663,cristina
664,cristina
665,cristina
666,cristina
667,cristina
668,cristina
669,cristina
670,cristina
671,cristina
672,cristina
673,cristina
674,cristina
675,cristina
676,cristina
677,cristina
678,cristina
679,cristina
680,cristina
681,cristina
682,cristina
683,cristina
684,cristina
685,cristina
686,cristina
687,cristina
688,cristina
689,cristina
690,cristina
691,cristina
692,cristina
693,cristina
694,cristina
695,cristina
696,cristina
697,cristina
698,cristina
699,cristina
700,cristina
701,cristina
702,cristina
703,cristina
704,cristina
705,cristina
706,cristina
707,cristina
708,cristina
709,cristina
710,cristina
711,cristina
712,cristina
713,cristina
714,cristina
715,cristina
716,cristina
717,cristina
718,cristina
719,cristina
720,cristina
721,cristina
722,cristina
723,cristina
724,cristina
725,cristina
726,cristina
727,cristina
728,cristina
729,cristina
730,cristina
731,cristina
732,cristina
733,cristina
734,cristina
735,cristina
736,cristina
737,cristina
738,cristina
739,cristina
740,cristina
741,cristina
742,cristina
743,cristina
744,cristina
745,cristina
746,cristina
747,cristina
748,cristina
749,cristina
750,cristina
751,cristina
752,cristina
753,cristina
754,cristina
755,cristina
756,cristina
757,cristina
758,cristina
759,cristina
760,cristina
761,cristina
762,cristina
763,cristina
764,cristina
765,cristina
766,cristina
767,cristina
768,cristina
769,cristina
770,cristina
771,cristina
772,cristina
773,cristina
774,cristina
775,cristina
776,cristina
777,cristina
778,cristina
779,cristina
780,cristina
781,cristina
782,cristina
783,cristina
784,cristina
785,cristina
786,cristina
787,cristina
788,cristina
789,cristina
790,cristina
791,cristina
792,cristina
793,cristina
794,cristina
795,cristina
796,cristina
797,cristina
798,cristina
799,cristina
800,cristina
801,cristina
802,cristina
803,cristina
804,cristina
805,cristina
806,cristina
807,cristina
808,cristina
809,cristina
810,cristina
811,cristina
812,cristina
813,cristina
814,cristina
815,cristina
816,cristina
817,cristina
818,cristina
819,cristina
820,cristina
821,cristina
822,cristina
823,cristina
824,cristina
825,cristina
826,cristina
827,cristina
828,cristina
829,cristina
830,cristina
831,cristina
832,cristina
833,cristina
834,cristina
835,cristina
836,cristina
837,cristina
838,cristina
839,cristina
840,cristina
841,cristina
842,cristina
843,cristina
844,cristina
845,cristina
846,cristina
847,cristina
848,cristina
849,cristina
850,cristina
851,cristina
852,cristina
853,cristina
854,cristina
855,cristina
856,cristina
857,cristina
858,cristina
859,cristina
860,cristina
861,cristina
862,cristina
863,cristina
864,cristina
865,cristina
866,cristina
867,cristina
868,cristina
869,cristina
870,cristina
871,cristina
872,cristina
873,cristina
874,cristina
875,cristina
876,cristina
877,cristina
878,cristina
879,cristina
880,cristina
881,cristina
882,cristina
883,cristina
884,cristina
885,cristina
886,cristina
887,cristina
888,cristina
889,cristina
890,cristina
891,cristina
892,cristina
893,cristina
894,cristina
895,cristina
896,cristina
897,cristina
898,cristina
899,cristina
900,cristina
901,cristina
902,cristina
903,cristina
904,cristina
905,cristina
906,cristina
907,cristina
908,cristina
909,cristina
910,cristina
911,cristina
912,cristina
913,cristina
914,cristina
915,cristina
916,cristina
917,cristina
918,cristina
919,cristina
920,cristina
921,cristina
922,cristina
923,cristina
924,cristina
925,cristina
926,cristina
927,cristina
928,cristina
929,cristina
930,cristina
931,cristina
932,cristina
933,cristina
934,cristina
935,cristina
936,cristina
937,cristina
938,cristina
939,cristina
940,cristina
941,cristina
942,cristina
943,cristina
944,cristina
945,cristina
946,cristina
947,cristina
948,cristina
949,cristina
950,cristina
951,cristina
952,cristina
953,cristina
954,cristina
955,cristina
956,cristina
957,cristina
958,cristina
959,cristina
960,cristina
961,cristina
962,cristina
963,cristina
964,cristina
965,cristina
966,cristina
967,cristina
968,cristina
969,cristina
970,cristina
971,cristina
972,cristina
973,cristina
974,cristina
975,cristina
976,cristina
977,cristina
978,cristina
979,cristina
980,cristina
981,cristina
982,cristina
983,cristina
984,cristina
985,cristina
986,cristina
987,cristina
988,cristina
989,cristina
990,cristina
991,cristina
992,cristina
993,cristina
994,cristina
995,cristina
996,cristina
997,cristina
998,cristina
999,cristina
1000,cristina
1001,alberto
1002,alberto
1003,alberto
1004,alberto
1005,alberto
1006,alberto
1007,alberto
1008,alberto
1009,alberto
1010,alberto
1011,alberto
1012,alberto
1013,alberto
1014,alberto
1015,alberto
1016,alberto
1017,alberto
1018,alberto
1019,alberto
1020,alberto
1021,alberto
1022,alberto
1023,alberto
1024,alberto
1025,alberto
1026,alberto
1027,alberto
1028,alberto
1029,alberto
1030,alberto
1031,alberto
1032,alberto
1033,alberto
1034,alberto
1035,alberto
1036,alberto
1037,alberto
1038,alberto
1039,alberto
1040,alberto
1041,alberto
1042,alberto
1043,alberto
1044,alberto
1045,alberto
1046,alberto
1047,alberto
1048,alberto
1049,alberto
1050,alberto
1051,alberto
1052,alberto
1053,alberto
1054,alberto
1055,alberto
1056,alberto
1057,alberto
1058,alberto
1059,alberto
1060,alberto
1061,alberto
1062,alberto
1063,alberto
1064,alberto
1065,alberto
1066,alberto
1067,alberto
1068,alberto
1069,alberto
1070,alberto
1071,alberto
1072,alberto
1073,alberto
1074,alberto
1075,alberto
1076,alberto
1077,alberto
1078,alberto
1079,alberto
1080,alberto
1081,alberto
1082,alberto
1083,alberto
1084,alberto
1085,alberto
1086,alberto
1087,alberto
1088,alberto
1089,alberto
1090,alberto
1091,alberto
1092,alberto
1093,alberto
1094,alberto
1095,alberto
1096,alberto
1097,alberto
1098,alberto
1099,alberto
1100,alberto
1101,alberto
1102,alberto
1103,alberto
1104,alberto
1105,alberto
1106,alberto
1107,alberto
1108,alberto
1109,alberto
1110,alberto
1111,alberto
1112,alberto
1113,alberto
1114,alberto
1115,alberto
1116,alberto
1117,alberto
1118,alberto
1119,alberto
1120,alberto
1121,alberto
1122,alberto
1123,alberto
1124,alberto
1125,alberto
1126,alberto
1127,alberto
1128,alberto
1129,alberto
1130,alberto
1131,alberto
1132,alberto
1133,alberto
1134,alberto
1135,alberto
1136,alberto
1137,alberto
1138,alberto
1139,alberto
1140,alberto
1141,alberto
1142,alberto
1143,alberto
1144,alberto
1145,alberto
1146,alberto
1147,alberto
1148,alberto
1149,alberto
1150,alberto
1151,alberto
1152,alberto
1153,alberto
1154,alberto
1155,alberto
1156,alberto
1157,alberto
1158,alberto
1159,alberto
1160,alberto
1161,alberto
1162,alberto
1163,alberto
1164,alberto
1165,alberto
1166,alberto
1167,alberto
1168,alberto
1169,alberto
1170,alberto
1171,alberto
1172,alberto
1173,alberto
1174,alberto
1175,alberto
1176,alberto
1177,alberto
1178,alberto
1179,alberto
1180,alberto
1181,alberto
1182,alberto
1183,alberto
1184,alberto
1185,alberto
1186,alberto
1187,alberto
1188,alberto
1189,alberto
1190,alberto
1191,alberto
1192,alberto
1193,alberto
1194,alberto
1195,alberto
1196,alberto
1197,alberto
1198,alberto
1199,alberto
1200,alberto
1201,alberto
1202,alberto
1203,alberto
1204,alberto
1205,alberto
1206,alberto
1207,alberto
1208,alberto
1209,alberto
1210,alberto
1211,alberto
1212,alberto
1213,alberto
1214,alberto
1215,alberto
1216,alberto
1217,alberto
1218,alberto
1219,alberto
1220,alberto
1221,alberto
1222,alberto
1223,alberto
1224,alberto
1225,alberto
1226,alberto
1227,alberto
1228,alberto
1229,alberto
1230,alberto
1231,alberto
