1122;9847;23
1122;10148;11
1122;13015;1
6704;10148;4
7933;13015;83
7933;13016;55
7933;31661;2
7933;34933;13
7933;17173;42
7933;49941;5
7933;65841;1
7933;16704;14
7933;22490;12
7933;49946;11
7933;13017;2
7933;6704;1
7933;8934;11
7933;23961;10
7933;13020;10
7933;20839;24
7933;1055721;1
7933;50814;3
7933;49376;36
7933;386577;3
7933;23963;4
7933;58653;4
7933;23954;8
7933;49942;19
7933;71517;1
7933;40052;1
7933;23959;12
7933;23958;7
7933;676196;1
7933;23953;5
7933;9847;10
7933;37587;10
7933;421243;1
7933;50815;1
7933;49873;1
7933;10148;1
7933;35299;1
7933;16665;8
7933;50820;1
7933;112044;1
7933;56444;1
7933;21871;5
7933;23956;7
7933;51063;1
7933;1122;1
7933;21868;7
7933;1238227;1
7933;287656;1
7933;71535;2
7933;38942;7
7933;48150;1
7933;39551;2
7933;1336066;1
7933;163769;1
7933;21862;2
7933;117722;1
7933;16701;2
7933;62307;1
7933;48162;1
7933;238882;1
7933;37588;1
7933;43604;1
7933;69762;1
7933;37593;1
7933;24235;1
7933;69633;1
8934;16704;2
8934;49942;8
8934;20839;1
8934;16665;5
8934;49941;1
8934;7933;5
8934;49376;1
8934;21862;4
8934;13016;5
8934;13020;2
8934;9847;5
8934;17173;2
8934;22490;3
8934;23954;4
8934;37587;1
8934;34933;2
8934;9453;1
8934;13015;2
8934;23958;1
8934;23963;1
8934;16701;1
8934;22720;1
8934;71520;1
8934;31661;1
8934;17173;3
8934;65841;1
8934;23961;3
8934;50829;2
8934;35299;1
8934;24235;1
9453;79790;1
9847;50815;1
9847;49873;1
9847;1122;2
9847;13016;1
9847;17173;2
9847;23961;1
10148;6704;3
10148;13015;5
10148;13016;1
11613;23961;1
11613;10148;2
13015;13016;153
13015;13017;3
13015;13020;4
13015;10148;63
13015;48162;1
13015;16665;1
13015;83995;6
13015;65841;3
13015;22490;1
13015;23956;1
13015;51063;3
13016;13020;4
13016;13015;77
13016;9847;1
13016;16704;1
13016;23963;2
13016;10148;5
13016;13017;1
13016;23956;1
13016;16665;1
13016;83995;1
13016;51063;2
13017;13015;208
13017;10148;7
13017;13016;16
13017;13020;2
13017;16665;1
13020;50814;1
13020;13015;1
13020;13016;1
16664;16665;3
16664;13016;1
16664;31661;2
16664;83931;1
16665;17173;7
16665;9847;6
16665;23961;2
16665;13016;8
16665;21862;1
16665;34612;1
16665;21871;1
16665;35299;1
16665;22490;1
16665;238882;1
16665;37588;2
16665;49946;1
16665;23958;1
16701;16704;6
16704;34933;1
16704;50814;1
16704;6704;13
16704;49873;1
16704;49942;3
16704;34612;1
16704;13020;1
16704;9847;5
16704;35299;1
16704;17173;4
16704;43604;7
16704;37587;1
16704;1122;1
16704;13016;4
16704;16665;1
16704;7933;1
16704;20839;3
16704;10148;1
16704;16701;1
16704;23963;1
16704;9052;2
16704;30568;3
16704;17173;1
16704;112044;1
17173;23954;3
17173;9847;11
17173;49941;1
17173;16704;5
17173;65841;1
17173;13017;1
17173;13016;4
17173;13015;3
17173;13020;2
17173;50829;1
17173;49873;1
17173;23956;1
17173;48150;1
17173;16665;2
17173;71526;1
17173;37588;1
17173;10148;1
17173;22720;1
17173;34933;1
17173;1122;1
20839;8934;6
20839;16704;5
20839;23959;1
20839;49946;1
20839;49942;2
20839;22490;2
20839;7933;2
20839;13020;1
20839;13016;8
20839;23956;2
20839;692553;1
20839;17173;1
20839;16665;3
20839;35299;1
20839;9847;1
20839;21871;1
20839;49941;1
21807;10148;1
21807;6704;1
21862;49376;166
21862;22490;10
21862;23961;15
21862;23954;16
21862;16665;7
21862;8934;59
21862;49941;3
21862;7933;28
21862;17173;11
21862;16704;31
21862;37587;1
21862;35299;7
21862;13020;4
21862;13016;9
21862;20839;4
21862;34933;10
21862;21871;4
21862;50814;2
21862;9847;8
21862;49942;5
21862;71517;1
21862;49946;2
21862;50829;1
21862;23953;2
21862;13015;2
21862;21868;3
21862;39551;1
21862;23956;3
21862;22720;1
21862;23958;2
21862;23963;3
21862;31661;3
21862;48162;1
21862;37588;1
21862;37593;1
21862;50839;1
21862;16701;1
21862;34102;1
21862;66385;2
21862;83995;1
21868;13015;5
21868;13020;1
21868;16665;6
21868;17173;2
21868;16704;3
21868;9847;1
21868;13016;1
21868;71535;2
21871;22490;1
21871;23954;1
22268;9052;3
22483;13016;5
22483;16704;1
22483;22490;1
22483;10148;1
22483;31661;2
22483;51063;1
22490;23954;3
22490;13020;1
22490;17173;1
22490;21871;2
22490;23958;1
22490;31661;2
22490;50839;1
22490;16665;1
22490;17173;2
22490;22720;1
22720;16704;3
22720;9847;3
22720;16665;5
22720;238882;1
