56480;2049;4
58629;2049;4
64530;2049;1
91083;2049;1
288357;2049;3
374758;2049;1
1077853;2049;1
1883825;2049;2
2049;2124;3
6033;2124;31
36213;2124;2
50085;2124;1
54406;2124;1
58629;2124;1
58701;2124;5
60959;2124;1
70950;2124;3
98883;2124;4
117375;2124;1
127667;2124;1
166374;2124;2
194981;2124;5
268044;2124;1
288352;2124;1
288357;2124;5
374758;2124;8
503644;2124;1
776981;2124;1
1077853;2124;12
1192103;2124;2
1883825;2124;4
1993246;2124;1
117375;3359;1
1509747;3359;2
1992046;3359;8
1822806;5983;1
2049;6033;1
8158;6033;7
25638;6033;1
36213;6033;2
54406;6033;2
56480;6033;8
58629;6033;9
58701;6033;8
59980;6033;1
60964;6033;2
64530;6033;1
70950;6033;1
91083;6033;5
98871;6033;1
98883;6033;1
98884;6033;24
98887;6033;1
266553;6033;2
288352;6033;2
288357;6033;180
374758;6033;1
412040;6033;10
450132;6033;5
460538;6033;1
776981;6033;1
879018;6033;1
955763;6033;1
1077853;6033;4
1187686;6033;3
1192103;6033;5
1509747;6033;8
1883825;6033;17
2094315;6033;1
2498116;6033;7
6033;7428;1
25638;7428;20
56480;7428;2
58629;7428;1
58701;7428;1
266553;7428;1
374758;7428;1
1077853;7428;1
2093256;7428;1
2498116;7428;1
1794390;7905;3
6033;8158;14
25637;8158;2
36213;8158;7
54406;8158;1
56480;8158;4
58629;8158;5
58701;8158;4
59980;8158;1
60959;8158;4
60964;8158;2
98871;8158;1
98883;8158;1
98884;8158;1
194981;8158;1
266553;8158;1
268044;8158;22
288352;8158;2
288357;8158;18
374758;8158;1
473554;8158;1
854647;8158;1
959263;8158;1
1077853;8158;4
1509747;8158;18
1522838;8158;1
1883825;8158;11
829413;11961;1
25638;13590;2
56480;13590;2
58701;13590;3
98887;13590;1
266553;13590;1
450132;13590;1
630886;13590;1
25638;25635;1
2049;25636;27
6033;25636;24
7428;25636;3
8158;25636;21
11961;25636;1
25635;25636;24
25637;25636;61
25638;25636;25
26646;25636;7
36213;25636;10
54406;25636;29
56480;25636;11
58629;25636;54
58701;25636;9
59980;25636;3
60959;25636;8
60964;25636;2
64530;25636;1
82425;25636;11
91083;25636;2
98871;25636;9
98883;25636;55
98884;25636;27
98887;25636;30
98889;25636;27
101985;25636;1
111979;25636;3
125857;25636;11
157566;25636;5
194981;25636;84
194983;25636;121
241076;25636;2
266553;25636;40
268044;25636;83
288352;25636;43
288357;25636;61
374758;25636;11
393996;25636;1
450132;25636;9
473554;25636;7
476509;25636;1
630886;25636;10
709798;25636;1
776981;25636;1
822089;25636;1
854647;25636;1
885807;25636;1
925552;25636;1
939182;25636;8
955763;25636;2
959263;25636;2
1077853;25636;63
1098517;25636;1
1175134;25636;10
1187686;25636;4
1192103;25636;40
1411777;25636;1
1488167;25636;2
1500802;25636;2
1509747;25636;126
1522838;25636;4
1652807;25636;2
1688621;25636;1
1697661;25636;2
1883825;25636;54
1969771;25636;3
2093109;25636;1
2093256;25636;1
2049;25637;3
6033;25637;4
7428;25637;2
8158;25637;8
25635;25637;3
25636;25637;4
25638;25637;5
26646;25637;1
36213;25637;7
54406;25637;2
56480;25637;1
58629;25637;10
58701;25637;5
59980;25637;2
60959;25637;5
91083;25637;8
98871;25637;5
98883;25637;9
98884;25637;8
98884;25637;2
98887;25637;11
125857;25637;4
166374;25637;2
194981;25637;20
194983;25637;5
266553;25637;8
268044;25637;3
288352;25637;3
288357;25637;13
374758;25637;6
450132;25637;3
473554;25637;1
476509;25637;1
494003;25637;1
630886;25637;6
939182;25637;2
959263;25637;2
1077853;25637;2
1187686;25637;1
1192103;25637;5
1509747;25637;5
1883825;25637;10
2094315;25637;1
2498116;25637;4
2049;25638;1
7428;25638;1
25635;25638;4
25637;25638;2
36213;25638;3
58629;25638;3
58701;25638;2
60959;25638;1
91083;25638;1
98887;25638;1
98889;25638;1
111979;25638;1
194983;25638;3
268044;25638;1
288357;25638;4
450132;25638;1
955763;25638;1
1077853;25638;1
1500802;25638;1
1509747;25638;3
1883825;25638;3
2049;26646;2
8158;26646;1
25637;26646;1
36213;26646;1
54406;26646;13
58629;26646;4
64530;26646;2
91083;26646;3
98871;26646;5
98883;26646;1
98884;26646;1
98887;26646;1
194981;26646;1
266553;26646;1
268044;26646;1
288352;26646;3
288357;26646;6
959263;26646;1
1077853;26646;2
1192103;26646;2
1509747;26646;8
1883825;26646;7
6033;29222;3
32693;32682;1
57340;32682;10
98884;32682;1
245729;32682;2
32682;32693;3
98871;33699;1
2049;36213;2
6033;36213;28
8158;36213;7
25637;36213;5
25638;36213;2
26646;36213;2
54406;36213;4
56480;36213;3
58629;36213;63
58701;36213;27
59980;36213;9
60959;36213;126
60964;36213;1
64530;36213;7
91083;36213;3
98871;36213;2
98883;36213;8
98884;36213;4
98884;36213;1
98887;36213;11
124950;36213;1
194981;36213;9
231638;36213;1
266553;36213;22
268044;36213;1
288352;36213;2
288357;36213;62
374758;36213;7
396785;36213;3
409988;36213;3
450132;36213;1
473554;36213;2
709798;36213;2
939182;36213;1
959263;36213;1
1077853;36213;19
1187686;36213;10
1192103;36213;7
1210938;36213;1
1509747;36213;9
1758775;36213;1
1883825;36213;94
2094315;36213;1
32693;37499;1
26267;39656;1
2049;54406;1
26646;54406;5
36213;54406;10
56480;54406;1
58629;54406;8
58701;54406;11
64530;54406;3
82425;54406;1
91083;54406;7
98871;54406;67
98883;54406;3
98887;54406;1
194981;54406;4
266553;54406;5
268044;54406;1
288352;54406;11
288357;54406;15
450132;54406;1
1077853;54406;13
1192103;54406;1
1500802;54406;3
1509747;54406;7
1883825;54406;26
2049;56480;9
6033;56480;25
7428;56480;1
8158;56480;2
25637;56480;4
25638;56480;2
26646;56480;1
36213;56480;7
57340;56480;1
58629;56480;33
58701;56480;12
59980;56480;1
60959;56480;3
60964;56480;1
64530;56480;1
91083;56480;2
98883;56480;3
98884;56480;8
98887;56480;4
111979;56480;1
125857;56480;1
126462;56480;1
166374;56480;1
194981;56480;1
239643;56480;1
266553;56480;8
279546;56480;69
288352;56480;1
288357;56480;29
374758;56480;2
473554;56480;2
630886;56480;1
939182;56480;1
955763;56480;1
959263;56480;1
1077853;56480;52
1175134;56480;1
1187686;56480;2
1192103;56480;4
1509747;56480;18
1883825;56480;42
2094315;56480;1
2498116;56480;1
32682;57340;1
32682;58624;4
57340;58624;1
245729;58624;2
2049;58629;8
6033;58629;15
8158;58629;1
25636;58629;1
25637;58629;3
25638;58629;3
36213;58629;8
54406;58629;3
58701;58629;12
59980;58629;2
60959;58629;1
60964;58629;6
64530;58629;1
91083;58629;8
98871;58629;3
98883;58629;2
98884;58629;2
98887;58629;19
157566;58629;1
171692;58629;1
266553;58629;1
268044;58629;2
287933;58629;2
288352;58629;1
288357;58629;178
374758;58629;5
409988;58629;3
450132;58629;2
473554;58629;1
666450;58629;1
939182;58629;5
955763;58629;6
959263;58629;1
1077853;58629;17
1098517;58629;2
1175134;58629;2
1187686;58629;80
1192103;58629;3
1500802;58629;1
1509747;58629;14
1883825;58629;81
2465327;58629;1
2498116;58629;1
2049;58701;3
6033;58701;11
8158;58701;1
25638;58701;1
36213;58701;15
56480;58701;2
58629;58701;18
59980;58701;7
60959;58701;3
64530;58701;1
82425;58701;1
91083;58701;1
98883;58701;1
98884;58701;4
98887;58701;3
125857;58701;3
194981;58701;1
231638;58701;2
266553;58701;2
268044;58701;1
288357;58701;16
374758;58701;2
959263;58701;2
1077853;58701;3
1175134;58701;1
1509747;58701;3
1883825;58701;13
2498116;58701;2
2049;59980;2
6033;59980;7
8158;59980;1
25637;59980;2
25638;59980;6
26646;59980;1
36213;59980;4
54406;59980;5
56480;59980;3
58629;59980;30
58701;59980;55
60959;59980;2
64530;59980;10
91083;59980;23
98871;59980;3
98887;59980;7
231638;59980;1
266553;59980;11
268044;59980;1
287933;59980;6
288352;59980;6
288357;59980;150
374758;59980;2
854647;59980;1
939182;59980;1
955763;59980;1
959263;59980;3
1077853;59980;26
1187686;59980;2
1192103;59980;1
1509747;59980;35
1883825;59980;160
2094315;59980;2
6033;60959;2
25638;60959;1
36213;60959;6
56480;60959;1
58629;60959;6
58701;60959;6
125857;60959;2
266553;60959;3
279546;60959;2
288357;60959;4
374758;60959;1
1077853;60959;2
1509747;60959;1
1883825;60959;15
2498116;60959;1
36213;60964;1
58629;60964;5
98887;60964;1
1883825;60964;13
58629;64530;1
829413;70950;1
6033;82425;2
25637;82425;1
54406;82425;1
58629;82425;1
58701;82425;4
91083;82425;3
98871;82425;1
98887;82425;1
166374;82425;2
288357;82425;4
374758;82425;1
1077853;82425;1
1192103;82425;1
2049;91083;2
6033;91083;1
8158;91083;2
25638;91083;1
36213;91083;2
58701;91083;1
60959;91083;1
64530;91083;3
288357;91083;8
450132;91083;1
939182;91083;1
959263;91083;1
1077853;91083;6
1883825;91083;1
2094315;91083;1
2049;98871;3
6033;98871;2
25637;98871;1
33699;98871;1
36213;98871;3
54406;98871;48
58629;98871;1
58701;98871;7
60959;98871;2
82425;98871;3
91083;98871;3
98883;98871;3
98887;98871;1
194981;98871;1
266553;98871;1
268044;98871;1
288352;98871;4
288357;98871;6
374758;98871;3
409988;98871;1
939182;98871;1
959263;98871;2
1077853;98871;4
1175134;98871;1
1187686;98871;1
1192103;98871;2
1509747;98871;20
1883825;98871;12
2049;98883;4
6033;98883;4
54406;98883;2
58629;98883;6
58701;98883;2
64530;98883;1
98871;98883;2
98884;98883;1
194981;98883;16
266553;98883;1
288352;98883;1
288357;98883;8
374758;98883;1
409988;98883;1
959263;98883;1
1192103;98883;1
1243428;98883;1
1500802;98883;1
1509747;98883;4
1883825;98883;14
2049;98884;7
6033;98884;117
8158;98884;7
25635;98884;1
25636;98884;1
25637;98884;4
25638;98884;1
36213;98884;13
54406;98884;4
56480;98884;1
58629;98884;22
58701;98884;29
59980;98884;6
60959;98884;2
60964;98884;2
64530;98884;3
91083;98884;21
91083;98884;1
98871;98884;1
98883;98884;1
98887;98884;2
101985;98884;1
125857;98884;1
157566;98884;1
166374;98884;1
194981;98884;1
231638;98884;1
266553;98884;17
288352;98884;5
288357;98884;60
288357;98884;1
374758;98884;2
412040;98884;3
630886;98884;3
630886;98884;1
955763;98884;4
959263;98884;1
1077853;98884;39
1077853;98884;1
1175134;98884;1
1192103;98884;1
1500802;98884;2
1509747;98884;10
1883825;98884;23
2094315;98884;1
2049;98885;1
25638;98885;1
26646;98885;7
36213;98885;1
54406;98885;4
56480;98885;1
58629;98885;2
58701;98885;1
64530;98885;1
82425;98885;2
98871;98885;5
98887;98885;1
266553;98885;1
288352;98885;5
288357;98885;3
374758;98885;1
885807;98885;1
939182;98885;1
1077853;98885;2
1175134;98885;2
1192103;98885;1
2049;98887;1
6033;98887;6
8158;98887;4
25637;98887;9
25638;98887;2
36213;98887;1
54406;98887;1
56480;98887;1
58629;98887;13
58701;98887;10
91083;98887;2
98883;98887;2
98884;98887;1
194981;98887;2
268044;98887;1
287933;98887;1
288357;98887;11
374758;98887;1
450132;98887;1
939182;98887;1
1077853;98887;4
1175134;98887;1
1192103;98887;1
